equipment,date,changed_pcs
1026884,5/23/2023,0
1026884,5/23/2023,1
1026884,5/23/2023,0
1026884,5/29/2023,1
1026884,5/29/2023,1
1026884,6/19/2023,1
1026884,6/19/2023,1
1026884,8/18/2023,1
1026884,8/18/2023,1
1026884,8/28/2023,1
1026884,8/28/2023,1
1026884,8/31/2023,1
1026884,8/31/2023,1
1026884,9/7/2023,1
1026884,9/7/2023,1
1026884,9/8/2023,0
1026884,9/8/2023,0
1026891,1/3/2023,0
1026891,1/3/2023,0
1026891,1/24/2023,0
1026891,1/30/2023,4
1026891,1/30/2023,4
1026891,1/31/2023,1
1026891,1/31/2023,1
1026891,2/1/2023,1
1026891,2/1/2023,1
1026891,2/2/2023,1
1026891,2/2/2023,1
1026891,2/6/2023,1
1026891,2/6/2023,1
1026891,2/14/2023,1
1026891,2/14/2023,1
1026891,2/22/2023,1
1026891,2/22/2023,1
1026891,5/8/2023,4
1026891,5/8/2023,0
1026891,5/8/2023,4
1026891,5/8/2023,0
1026891,5/9/2023,1
1026891,5/9/2023,1
1026892,1/3/2023,0
1026892,1/3/2023,0
1026892,1/16/2023,1
1026892,1/16/2023,1
1026892,1/16/2023,0
1026892,1/16/2023,1
1026892,1/16/2023,1
1026892,3/8/2023,1
1026892,3/8/2023,1
1026892,3/15/2023,0
1026892,3/15/2023,0
1026892,5/4/2023,1
1026892,5/4/2023,0
1026892,5/4/2023,1
1026892,5/11/2023,1
1026892,5/11/2023,1
1026892,5/15/2023,1
1026892,5/15/2023,1
1026892,6/22/2023,0
1026892,6/26/2023,1
1026892,6/26/2023,1
1026892,7/3/2023,1
1026892,7/3/2023,1
1026892,7/21/2023,0
1026892,7/21/2023,0
1026892,7/26/2023,0
1026892,7/26/2023,0
1026892,8/14/2023,0
1026892,8/14/2023,0
1026892,8/15/2023,0
1026892,8/15/2023,0
1026892,8/29/2023,1
1026892,8/29/2023,1
1026892,9/7/2023,1
1026892,9/7/2023,1
